iter	Passed	Remaining
743	2469	849
744	2474	846
745	2480	844
746	2482	840
747	2488	838
748	2492	835
749	2495	831
750	2498	828
751	2502	825
752	2506	822
753	2509	818
754	2514	815
755	2517	812
756	2521	809
757	2525	806
758	2537	805
759	2541	802
760	2547	800
761	2551	796
762	2553	793
763	2557	790
764	2566	788
765	2573	786
766	2582	784
767	2590	782
768	2600	781
769	2604	778
770	2608	774
771	2610	771
772	2615	767
773	2622	765
774	2625	762
775	2628	758
776	2635	756
777	2639	753
778	2641	749
779	2644	745
780	2647	742
781	2652	739
782	2657	736
783	2659	732
784	2663	729
785	2668	726
786	2672	723
787	2678	720
788	2686	718
789	2690	715
790	2694	712
791	2698	708
792	2702	705
793	2705	701
794	2708	698
795	2713	695
796	2716	691
797	2720	688
798	2727	686
799	2732	683
800	2735	679
801	2738	676
802	2743	673
803	2746	669
804	2749	666
805	2752	662
806	2758	659
807	2763	656
808	2766	653
809	2769	649
810	2773	646
811	2779	643
812	2782	639
813	2786	636
814	2788	633
815	2791	629
816	2795	626
817	2799	622
818	2805	620
819	2809	616
820	2811	613
821	2814	609
822	2819	606
823	2825	603
824	2827	599
825	2830	596
826	2842	594
827	2844	590
828	2850	587
829	2854	584
830	2857	581
831	2860	577
832	2865	574
833	2869	571
834	2873	567
835	2877	564
836	2880	561
837	2884	557
838	2887	554
839	2891	550
840	2896	547
841	2900	544
842	2907	541
843	2915	538
844	2919	535
845	2922	531
846	2927	528
847	2929	525
848	2931	521
849	2938	518
850	2948	516
851	2958	513
852	2965	511
853	2968	507
854	2972	504
855	2976	500
856	2985	498
857	2992	495
858	2994	491
859	2998	488
860	3003	484
861	3006	481
862	3010	477
863	3012	474
864	3013	470
865	3017	466
866	3021	463
867	3023	459
868	3028	456
869	3033	453
870	3036	449
871	3039	446
872	3042	442
873	3044	438
874	3049	435
875	3052	432
876	3056	428
877	3061	425
878	3066	422
879	3069	418
880	3073	415
881	3078	411
882	3082	408
883	3085	404
884	3088	401
885	3091	397
886	3095	394
887	3098	390
888	3103	387
889	3109	384
890	3112	380
891	3115	377
892	3117	373
893	3119	369
894	3123	366
895	3126	362
896	3128	359
897	3131	355
898	3134	352
899	3141	349
900	3145	345
901	3148	342
902	3151	338
903	3156	335
904	3158	331
